¶ Chansons nouuelles	¶ Chansons nouvelles
demonstrantz plusieurs erreurs	demonstrantz plusieurs erreurs
et faulsetez: desquelles le	et faulsetez: desquelles le
paoure mõde est rẽply	pauvre monde est remply
par les ministres	par les ministres
de Satan.	de Satan.
Matth.xu.	Matth.xv.
¶ Les disciples dirẽt a Iesus.	¶ Les disciples dirent a Jesus.
Nas tu point cõgneu que les	N'as tu point congneu que les
Pharisiens ont este offensez	Pharisiens ont este offensez
oyantz ceste parolle?	oyantz ceste parolle?
Iesus leur respondit.	Jesus leur respondit.
Toute plantatiõ laq̃lle mon	Toute plantation laquelle mon
pere celeste naura point plã¬	pere celeste n'aura point plan¬
te/ sera arrachee. Laissez les	te/ sera arrachee. Laissez les
ilz sont aueugles/ et condu¬	ilz sont aveugles/ et condu¬
cteurs des aueugles ⁊c.	cteurs des aveugles etc.
¶ Chanson nouuelle de lorigine/	¶ Chanson nouvelle de l'origine/
autorite/ ⁊ puissance de leuãgile/	autorite/ et puissance de l'evangile/
contre tous ceulx qui le appellent	contre tous ceulx qui le appellent
nouuelle doctrine/ Sur le chant:	nouvelle doctrine/ Sur le chant:
Ie ne scay pas cõment.	Je ne scay pas comment.
I	J¬
E mesbahis cõment	E m'esbahis comment
Lhumain entendement/	L'humain entendement/
Remply doutrecuydance/	Remply d'outrecuydance/
Me faict tant de tourment:	Me faict tant de tourment:
Car par faulx iugement	Car par faulx jugement
Me poursuyt a outrance.	Me poursuyt a outrance.
¶ Tant de faulx seducteurs/	¶ Tant de faulx seducteurs/
Aueugles conducteurs/	Aveugles conducteurs/
Folz cuydantz estre sages/	Folz cuydantz estre sages/
Cõment maistres menteurs/	Comment maistres menteurs/
De sectes inuenteurs/	De sectes inventeurs/
Mont ferme les passages.	M'ont ferme les passages.
¶ Les auaricieux/	¶ Les avaricieux/
Felons/ contentieux/	Felons/ contentieux/
Tous farcis de fallace/	Tous farcis de fallace/
Me blasment en tous lieux/	Me blasment en tous lieux/
Nouueau seditieux	Nouveau seditieux
Me appellent en toute place.	Me appellent en toute place.
¶ Aussi nouuelle foy/	¶ Aussi nouvelle foy/
Faulse doctrine ⁊ loy/	Faulse doctrine et loy/
Ces aueugles me nomment/	Ces aveugles me nomment/
Tout mal disantz de moy/	Tout mal disantz de moy/
Monstrantz que ce grand roy/	Monstrantz que ce grand roy/
Ne sa grace ne estiment.	Ne sa grace ne estiment.
¶ Pourtant ie uous diray	¶ Pourtant je vous diray
Mon origine au uray/	Mon origine au vray/
Si me uoulez congnoistre/	Si me voulez congnoistre/
Ie uous demonstreray	Je vous demonstreray
Ma puissance: ⁊ feray	Ma puissance: et feray
Mon estat apparoistre.	Mon estat apparoistre.
¶ Ie suis du dieu uiuant	¶ Je suis du dieu vivant
Puissance a tout croyant/	Puissance a tout croyant/
Au uray salut ⁊ uie:	Au vray salut et vie:
Car tout homme suyuant	Car tout homme suyvant
Ma uoye ⁊ semployant	Ma voye et s'employant
Pour moy, Christ glorifie.	Pour moy, Christ glorifie.
¶ La condemnation	¶ La condemnation
Par la transgression	Par la transgression
Dadam/ estoit mortelle:	D'adam/ estoit mortelle:
Car sans remission	Car sans remission
Mort ⁊ damnation	Mort et damnation
Uous estoit eternelle.	Vous estoit eternelle.
¶ Mais par la grand bonte	¶ Mais par la grand bonte
De dieu/ ⁊ charite/	De dieu/ et charite/
Grace ⁊ paix uous fut faicte/	Grace et paix vous fut faicte/
De ce la uerite	De ce la verite
Nouuelle ⁊ grand seurte	Nouvelle et grand seurte
Ie suis pleine ⁊ parfaicte.	Je suis pleine et parfaicte.
¶ Dieu le pere puissant/	¶ Dieu le pere puissant/
A Adam languissant/	A Adam languissant/
Aussi a tous noz peres/	Aussi a tous noz peres/
Par Iesus Christ plaisant	Par Jesus Christ plaisant
Son filz obeyssant/	Son filz obeyssant/
Promist ces iours prosperes.	Promist ces jours prosperes.
¶ Par moy lhomme de dieu/	¶ Par moy l'homme de dieu/
Le bon Moyse hebrieu/	Le bon Moyse hebrieu/
Et tous les sainctz prophetes/	Et tous les sainctz prophetes/
En esprit ont preueu/	En esprit ont preveu/
Cerche/ escript/ promeu	Cerche/ escript/ promeu
De Christ les faictz ⁊ gestes.	De Christ les faictz et gestes.
¶ Tout ainsi quont predit	¶ Tout ainsi qu'ont predit
Par parolle ⁊ escript/	Par parolle et escript/
Iesus Christ se fist homme/	Jesus Christ se fist homme/
Qui pour les siens se offrit/	Qui pour les siens se offrit/
Effaceant le rescript/	Effaceant le rescript/
Pour uous payant la somme.	Pour vous payant la somme.
¶ Donc par luy suis donne	¶ Donc par luy suis donne
Et pour grace ordonne/	Et pour grace ordonne/
A tout chrestien fidelle:	A tout chrestien fidelle:
Par luy est condamne	Par luy est condamne
Tout homme obstine/	Tout homme obstine/
Qui a moy sera rebelle.	Qui a moy sera rebelle.
¶ Luy mesme ma presche/	¶ Luy mesme m'a presche/
Et par moy a pesche/	Et par moy a pesche/
Maintz pecheurs infirmes/	Maintz pecheurs infirmes/
Enfer/ satan/ peche/	Enfer/ satan/ peche/
Pour tous a despesche/	Pour tous a despesche/
Ceulx qui en moy sont fermes.	Ceulx qui en moy sont fermes.
¶ Et quand au ciel monta/	¶ Et quand au ciel monta/
Au monde me laissa/	Au monde me laissa/
Pour ceulx qui deuoyent croyre/	Pour ceulx qui devoyent croyre/
En moy quil commanda/	En moy qu'il commanda/
Que a tous on me prescha/	Que a tous on me prescha/
Parmy tout territoire.	Parmy tout territoire.
¶ Puis mont presche ainsi	¶ Puis m'ont presche ainsi
Ses disciples/ qui aussi	Ses disciples/ qui aussi
Ont par saincte escripture	Ont par saincte escripture
Tesmoĩgne tout cecy/	Tesmoingne tout cecy/
Par quelz escriptz icy	Par quelz escriptz icy
En moy prens ta pasture.	En moy prens ta pasture.
¶ Et pour le dernier poinct/	¶ Et pour le dernier poinct/
Celuy qui ne croyt point	Celuy qui ne croyt point
En moy/ sa conscience	En moy/ sa conscience
Le uers tousiours le point/	Le vers tousjours le point/
Et feu qui pas nestaint/	Et feu qui pas n'estaint/
Par diuine sentence.	Par divine sentence.
¶ Chanson nouuelle de la Messe	¶ Chanson nouvelle de la Messe
desesperee ⁊ enragee/ uoyant ap¬	desesperee et enragee/ voyant ap¬
procher sa fin ⁊ horrible ruyne. Sur le chãt:	procher sa fin et horrible ruyne. Sur le chant:
Cest a grãt tort que moy paourette endure.	C'est a grant tort que moy paovrette endure.
C	C¬
Est a grãd tort q̃ moy messe tãt dure/	'Est a grand tort que moy messe tant dure/
Et que ie soye/ pour si bonne tenue/	Et que je soye/ pour si bonne tenue/
Plus faulse chose ny a dessoubz la nue:	Plus faulse chose n'y a dessoubz la nue:
Plus endurer on ne ueult telle ordure.	Plus endurer on ne veult telle ordure.
¶ Iay trop dure/ il est tẽps que ie meure/	¶ J'ay trop dure/ il est temps que je meure/
A mort a mort tout le monde me crye:	A mort a mort tout le monde me crye:
Cõme mõnoye faulse lon me descrye/	Comme monnoye faulse l'on me descrye/
Don uoys tomber/ ie suis desia trop meure.	D'on voys tomber/ je suis desja trop meure.
¶ Cest le support q̃ iay de uous sainct pere/	¶ C'est le support que j'ay de vous sainct pere/
Ou sont uoz gẽs/ ou est uostre clergie/	Ou sont voz gens/ ou est vostre clergie/
Par qui leglise/ si tresmal est regie/	Par qui l'eglise/ si tres mal est regie/
Si mal me uient/ ce uous est uitupere.	Si mal me vient/ ce vous est vitupere.
¶ Ny a il droit/ ny a il escripture/	¶ N'y a il droit/ n'y a il escripture/
Par qui ie soye prouuee ⁊ maintenue:	Par qui je soye prouvee et maintenue:
Plus contredire ie ne puis toute nue	Plus contredire je ne puis toute nue
A uerite/ qui contre moy procure.	A verite/ qui contre moy procure.
¶ Tous mes suppotz maintenez uostre messe/	¶ Tous mes suppotz maintenez vostre messe/
Qua uous se plaint biẽ dolente ⁊ marrie:	Qua vous se plaint bien dolente et marrie:
Uostre grand pance si long temps a nourrie/	Vostre grand pance si long temps a nourrie/
Uous la perdrez/ si ainsi lon me deschasse.	Vous la perdrez/ si ainsi l'on me deschasse.
¶ Si nay secours de uous ausquelz me fie/	¶ Si n'ay secours de vous ausquelz me fie/
Diuersitez de bestes insensees	Diversitez de bestes insensees
Et desguisees/ seront bien mal pensees:	Et desguisees/ seront bien mal pensees:
Car Uerite puissante me desfie.	Car Verite puissante me desfie.
¶ Toꝰ mes chasteaulx/ prieurez/ autelz/ chapel	¶ Tous mes chasteaulx/ prieurez/ autelz/ chapel¬
Clochiers ⁊ croix/ monasteres ⁊ cures: (les/	les/ Clochiers et croix/ monasteres et cures:
Mes triũphantes chãsons/ marchez/ ⁊ foyres/	Mes triumphantes chansons/ marchez/ et foyres/
Ruyner uoys/ puis que la mort mappelle.	Ruyner voys/ puis que la mort m'appelle.
¶ Mes champiõs mõstrez uostre uaillance/	¶ Mes champions monstrez vostre vaillance/
Si Uerite par droict/ ne pouez uaincre	Si Verite par droict/ ne povez vaincre
Par lescripture/ par la plume ⁊ lencre/	Par l'escripture/ par la plume et l'encre/
Bruslez/ noyez/ tuez en abondance.	Bruslez/ noyez/ tuez en abondance.
¶ A droit ou tort/ fault que cest euangile	¶ A droit ou tort/ fault que c'est evangile
Soit rue ius/ ou du tout suis perdue:	Soit rue jus/ ou du tout suis perdue:
Car plus heureuse seroye de estre pendue/	Car plus heureuse seroye de estre pendue/
Que aupres de luy estre en uillage ou uille.	Que aupres de luy estre en village ou ville.
¶ Par uostre effort/ si le pouez confondre	¶ Par vostre effort/ si le povez confondre
Plus uous feray riches q̃ fustes oncques:	Plus vous feray riches que fustes oncques:
Satan mõ pere uous maintiẽdra/ si dõcques	Satan mon pere vous maintiendra/ si doncques
Tous dung accord a ce uoulez entendre.	Tous d'ung accord a ce voulez entendre.
¶ Cest un ressort que ferez par concile/	¶ C'est un ressort que ferez par concile/
Non general/ mais secret en uoz salles/	Non general/ mais secret en voz salles/
Dans y admettre contraire aux Decretalles/	Dans y admettre contraire aux Decretalles/
Ou autrement ne uous seroit facile.	Ou autrement ne vous seroit facile.
¶ Autre chãson cõtenant une partie des dã¬	¶ Autre chanson contenant une partie des dan¬
nables erreurs et abusions des ministres de	nables erreurs et abusions des ministres de
Lantechrist/ qͥ ont usurpe le nom de p̃bstre.	L'antechrist/ qui ont usurpe le nom de prebstre.
O	O
Prebstres p̃bstres ouyez uostre chãson/	Prebstres prebstres ouyez vostre chanson/
En uoz matines chantez ceste lecon/	En voz matines chantez ceste lecon/
Puis questes tous plantez	Puis questes tous plantez
Contre dieu ⁊ raison/	Contre dieu et raison/
Uous serez desplantez/	Vous serez desplantez/
Plus nest uostre saison.	Plus n'est vostre saison.
¶ O p̃bstres pbres laissez ur̃e mestier/	¶ O prebstres prebstres laissez vostre mestier/
Ostes uoz messes/ hors de nr̃e mõstier/	Ostes voz messes/ hors de nostre monstier/
Aussi uostre coquille:	Aussi vostre coquille:
Trop auez marchande:	Trop avez marchande:
Prescher fault leuangile:	Prescher fault l'evangile:
Car dieu la cõmande.	Car dieu la commande.
¶ O pbr̃es pr̃es ne uoꝰ souuiẽt il poĩt/	¶ O prebstres prebstres ne vous souvient il point/
Quãd faisiez croyre cest erreur ⁊ faulx	Quand faisiez croyre c'est erreur et faulx
(poinct	poinct
Quen ce petit armoyre	Qu'en ce petit armoyre
Iesus est en prison:	Jesus est en prison:
Uous nous disiez encoire/	Vous nous disiez encoire/
La boitte est sa maison.	La boitte est sa maison.
¶ O pbr̃es. p. uoz erreͬs sõt biẽ grãdz/	¶ O prebstres. p. voz erreurs sont bien grandz/
Que dieu se laisse mãger a telz galãdz	Que dieu se laisse manger a telz galandz
Aussi que entre uoz mains	Aussi que entre voz mains
Il faice tant des tours:	Il faice tant des tours:
Tant des dieux que des pains	Tant des dieux que des pains
Uous mangez tous les iours.	Vous mangez tous les jours.
¶ O p̃bstres pbr̃es lisez moy au p̃mier	¶ O prebstres prebstres lisez moy au premier
Saĩct Luc aux Actes/ ⁊ saĩct Marc au	Sainct Luc aux Actes/ et sainct Marc au
(dernier	dernier
Iesus est a la dextre	Jesus est a la dextre
Du pere tout puissant/	Du pere tout puissant/
Ung iour doibt comparoistre	Ung jour doibt comparoistre
Iuge resplendissant.	Juge resplendissant.
¶ O pbr̃es pbr̃es en ce iour lattendõs/	¶ O prebstres prebstres en ce jour l'attendons/
Par la creance tout ainsi lentendõs/	Par la creance tout ainsi l'entendons/
Mais uous ne letendez	Mais vous ne l'etendez
Uostre cueur ny est pas:	Vostre cueur n'y est pas:
Car uous ne demandez	Car vous ne demandez
Quargent ⁊ bons repas.	Qu'argent et bons repas.
¶ O pbr̃es pbr̃es uostre erreur est p̃dit	¶ O prebstres prebstres vostre erreur est predit
Leuãgeliste saĩct Matthieu la escript/	L'evangeliste sainct Matthieu l'a escript/
Uous estes faulx prophetes	Vous estes faulx prophetes
Par oeuures ⁊ par dictz/	Par oeuvres et par dictz/
Cecy uient de uoz testes/	Cecy vient de voz testes/
Uous nous auez seduictz.	Vous nous avez seduictz.
¶ O p̃bstres p̃bstres uostre cõfession/	¶ O prebstres prebstres vostre confession/
Uoz penitences ce nest quabusion/	Voz penitences ce n'est qu'abusion/
Uous estes dieux en terre/	Vous estes dieux en terre/
Les pechez pardonnez/	Les pechez pardonnez/
Pluye/ uent/ ⁊ tonnoirre	Pluye/ vent/ et tonnoirre
Dittes que gouuernez.	Dittes que gouvernez.
¶ O pbres pbr̃es ne demãdez plꝰ dõs/	¶ O prebstres prebstres ne demandez plus dons/
Pain/ uin/ chãdelles/ laissez tous ces	Pain/ vin/ chandelles/ laissez tous ces
(pardõs:	pardons:
Car uostre purgatoire	Car vostre purgatoire
La bourse a trop purge/	La bourse a trop purge/
Iesus est nostre gloire/	Jesus est nostre gloire/
Qui nous a soulage.	Qui nous a soulage.
¶ O pbr̃es pbr̃es il uoꝰ fault trauailler	¶ O prebstres prebstres il vous fault travailler
Dieu le cõmãde/ ou il uoꝰ fault p̃scher	Dieu le commande/ ou il vous fault prescher
Purement sa parolle/	Purement sa parolle/
Sans y rien adiouster:	Sans y rien adjouster:
Car elle paist ⁊ saoule	Car elle paist et saoule
Lame/ sans rien couster.	L'ame/ sans rien couster.
¶ O pbr̃es pbr̃es il uoꝰ fault marier/	¶ O prebstres prebstres il vous fault marier/
Et uoz cõmeres du tout fault oublier:	Et voz commeres du tout fault oublier:
Nestes uous pas infames	N'estes vous pas infames
Dauoir uescu ainsi:	D'avoir vescu ainsi:
Seduictz auez les femmes/	Seduictz avez les femmes/
Fille/ chambriere aussi.	Fille/ chambriere aussi.
¶ O pbr̃es pbr̃es le tẽps est maintenãt	¶ O prebstres prebstres le temps est maintenant
Que ur̃e pape cest antechrist meschãt/	Que vostre pape c'est antechrist meschant/
Et toute sa uermine/	Et toute sa vermine/
Cõmence en tout lieu	Commence en tout lieu
Destre mis en ruyne	D'estre mis en ruyne
Par le glaiue de dieu.	Par le glaive de dieu.
¶ Autre chanson pour la cõuersion des	¶ Autre chanson pour la conversion des
paoures papistes ignorãtz qui ont bon	paovres papistes ignorantz qui ont bon
uouloir/ ⁊ mettẽt peine de ouyr ⁊ entẽ¬	vouloir/ et mettent peine de ouyr et enten¬
dre la uerite de leuãgile: car des autres	dre la verite de l'evangile: car des autres
papistes obstinez ⁊ blasphemateurs ny	papistes obstinez et blasphemateurs n'y
a point de esperance. Sur le chant:	a point de esperance. Sur le chant:
Dame dorleans ne plourez plus.	Dame d'orleans ne plourez plus.
P	P¬
Aoures papistes retournez uous	Aovres papistes retournez vous
A Iesus qui est mort pour nous.	A Jesus qui est mort pour nous.
¶ Paoures papistes debonnaire/	¶ Paovres papistes debonnaire/
Qui desirez a Iesus plaire/	Qui desirez a Jesus plaire/
Uostre ignorance a trop dure/	Vostre ignorance a trop dure/
Trop auez derreurs endure.	Trop avez d'erreurs endure.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez meschãtz cryer ⁊ braire:	¶ Laissez meschantz cryer et braire:
Car il est temps de uous retraire/	Car il est temps de vous retraire/
Puis que Iesus uous est presche/	Puis que Jesus vous est presche/
Nexcusez plus uostre peche.	N'excusez plus vostre peche.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez donc toute idolatrie/	¶ Laissez donc toute idolatrie/
Uenez a Iesus qui uous prie	Venez a Jesus qui vous prie
Luy seul descharge les pecheurs/	Luy seul descharge les pecheurs/
Les appellant par ses prescheurs.	Les appellant par ses prescheurs.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy ce uain dieu de paste/	¶ Laissez moy ce vain dieu de paste/
Qui uoz biens corps ⁊ ames gaste/	Qui voz biens corps et ames gaste/
Ne uueillez donc plus adorer/	Ne vueillez donc plus adorer/
Ce dieu que uoyez deuorer.	Ce dieu que voyez devorer.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy lidole de Romme/	¶ Laissez moy l'idole de Romme/
Cest antechrist qui tout consomme/	C'est antechrist qui tout consomme/
Renoncez a tous ces larrons/	Renoncez a tous ces larrons/
Auec leurs bulles ⁊ pardons.	Avec leurs bulles et pardons.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy ces malheureux p̃bstres	¶ Laissez moy ces malheureux prebstres
Plus que Iudas meschãtz ⁊ traistres/	Plus que Judas meschantz et traistres/
Qui Iesus une foys uendit	Qui Jesus une foys vendit
Et rendant largent se pendit.	Et rendant l'argent se pendit.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy leur puante messe/	¶ Laissez moy leur puante messe/
Qui la chrestiente si fort blesse/	Qui la chrestiente si fort blesse/
Soyez contentz dung redempteur:	Soyez contentz d'ung redempteur:
Car tout autre homme est menteur.	Car tout autre homme est menteur.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy tous ces chatemittes/	¶ Laissez moy tous ces chatemittes/
Moines/ bigotz/ nonnains/ hermites/	Moines/ bigotz/ nonnains/ hermites/
Et tout autre ordre desguise:	Et tout autre ordre desguise:
Car Iesus nest point diuise.	Car Jesus n'est point divise.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy ces affamees bestes	¶ Laissez moy ces affamees bestes
Qui tout rauissent par leurs questes:	Qui tout ravissent par leurs questes:
Lame/ par leur faulx pardonner:	L'ame/ par leur faulx pardonner:
Les biens/ quilz pillent par donner.	Les biens/ qu'ilz pillent par donner.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez faulx christz ⁊ faulx ꝓphetes	¶ Laissez faulx christz et faulx prophetes
Uentres ocieux faisantz prou festes/	Ventres ocieux faisantz prou festes/
Six iours il conuient labourer/	Six jours il convient labourer/
Au septiesme dieu honnorer.	Au septiesme dieu honnorer.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez donc toute paillardise/	¶ Laissez donc toute paillardise/
Ne uiuez plus a uostre guise/	Ne vivez plus a vostre guise/
Tenez la foy a uostre espoux/	Tenez la foy a vostre espoux/
Iesuchrist qui est mort pour tous.	Jesus christ qui est mort pour tous.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Gardez q̃ aucũne uous supreigne/	¶ Gardez que aucunne vous supreigne/
Tenez la uoye que Christ enseigne/	Tenez la voye que Christ enseigne/
La uraye foy ⁊ charite:	La vraye foy et charite:
Car il est uie ⁊ uerite.	Car il est vie et verite.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Autre chanson demonstrant la	¶ Autre chanson demonstrant la
maniere comment les chrestiẽs se	maniere comment les chrestiens se
doibuent esiouyr et chanter selon	doibvent esjouyr et chanter selon
Dieu/ qui se chante sur le chant:	Dieu/ qui se chante sur le chant:
Cest une dure departie.	C'est une dure departie.
C	C¬
Est une paoure chantrerie/	'Est une paovre chantrerie/
Qui est desplaisãte au seigneur/	Qui est desplaisante au seigneur/
Chanter chansons dyurongnerie/	Chanter chansons d'yvrongnerie/
Controuuees au grand deshonneur	Controuvees au grand deshonneur
Du seigneur dieu qui tout congnoit/	Du seigneur dieu qui tout congnoit/
Combien que belle couuerture/	Combien que belle couverture/
De bien ⁊ sainctete y soit/	De bien et sainctete y soit/
Ce quest sans foy nest rien q̃ ordure.	Ce qu'est sans foy n'est rien que ordure.
¶ Impossible est quoy quon te die/	¶ Impossible est quoy qu'on te die/
Sans foy plaire a nostre sauueur/	Sans foy plaire a nostre sauveur/
Beau parler ⁊ meschante uie/	Beau parler et meschante vie/
En ce ne prent il point saueur/	En ce ne prent il point saveur/
Comment bien ie te prouueray	Comment bien je te prouveray
Par sainct Matthieu en son septiesme/	Par sainct Matthieu en son septiesme/
Pourtant ie te demonstreray	Pourtant je te demonstreray
Ou poͬ chãter prẽdras tõ tesme.	Ou pour chanter prendras ton tesme.
¶ Ensuis par tout la droicte uoye	¶ Ensuis par tout la droicte voye
Iesus christ nostre redempteur/	Jesus christ nostre redempteur/
En luy/ mettant toute ta ioye/	En luy/ mettant toute ta joye/
De uolupte soys contempteur	De volupte soys contempteur
Du monde ⁊ de ses uanitez:	Du monde et de ses vanitez:
Tes chansons soient spirituelles/	Tes chansons soient spirituelles/
De saincte escripture extraictes/	De saincte escripture extraictes/
Delaissãt ces chãsõs charnelles.	Delaissant ces chansons charnelles.
¶ Lis au quatorziesme chapitre	¶ Lis au quatorziesme chapitre
La premiere aux Corinthiens/	La premiere aux Corinthiens/
Ou saĩct Paul urayemẽt noꝰ mõstre	Ou sainct Paul vrayement nous monstre
Cõme doibuent les urays chrestiens	Comme doibvent les vrays chrestiens
Prescher/ prier/ chanter aussi/	Prescher/ prier/ chanter aussi/
Tout soit en uoix intelligible/	Tout soit en voix intelligible/
De coeur/ desperit/ en sens rassi/	De coeur/ d'esperit/ en sens rassi/
Dõt fruict a tous soit ꝑceptible.	Dont fruict a tous soit perceptible.
¶ Ie chanteray donc de ma bouche/	¶ Je chanteray donc de ma bouche/
Mais de coeur bien plus ardammẽt/	Mais de coeur bien plus ardamment/
Par lesprit de dieu quand me touche/	Par l'esprit de dieu quand me touche/
Ie ne le pourroye autrement/	Je ne le pourroye autrement/
Par ainsi donc dieu loueray/	Par ainsi donc dieu l'oueray/
Au grand prouffit ⁊ edifice	Au grand prouffit et edifice
De mon prochain/ ⁊ linstruiray	De mon prochain/ et l'instruiray
A louer dieu en son office.	A louer dieu en son office.
¶ Naurons nous que une fois lannee/	¶ N'aurons nous que une fois l'annee/
Ou deux/ memoire seulement	Ou deux/ memoire seulement
De la grace/ quil a donnee	De la grace/ qu'il a donnee
A nous/ pour lesquelz paourement	A nous/ pour lesquelz paovrement
En ung estable il est ne:	En ung estable il est ne:
Pour nous a souffert mort horrible/	Pour nous a souffert mort horrible/
En ce monde si mal mene?	En ce monde si mal mene?
Pensons y tãt quil est possible.	Pensons y tant qu'il est possible.
¶ Tant que nous serons en ce monde/	¶ Tant que nous serons en ce monde/
Si chrestiens sommes/ en noz coeurs	Si chrestiens sommes/ en noz coeurs
Porter debuons lamour profonde	Porter debvons l'amour profonde
De ce bon Christ/ ⁊ ses langueurs/	De ce bon Christ/ et ses langueurs/
Sa uie/ ⁊ sa natiuite:	Sa vie/ et sa nativite:
Cest le mirouer de patience/	C'est le mirouer de patience/
Il est mort ⁊ resuscite:	Il est mort et resuscite:
Mõte au ciel par sa puissance.	Monte au ciel par sa puissance.
¶ Or chãtons dõc tousiours louẽges	¶ Or chantons donc tousjours louenges
A nostre bon pere des cieulx/	A nostre bon pere des cieulx/
Disantz de coeur apres les anges/	Disantz de coeur apres les anges/
Gloire au seigñr aux treshaultz lieux:	Gloire au seigneur aux tres haultz lieux:
Qui de la mort nous a tire/	Qui de la mort nous a tire/
Par Iesus qui a faict la guerre	Par Jesus qui a faict la guerre
Contre Satan/ sest retire	Contre Satan/ s'est retire
Auec nous faisant paix en terre.	Avec nous faisant paix en terre.
¶ Mais gardons nous dingratitude	¶ Mais gardons nous d'ingratitude
Quest moult desplaisante a Iesus/	Qu'est moult desplaisante a Jesus/
Pour laquelle grand multitude	Pour laquelle grand multitude
Disrael furent confondus/	D'israel furent confondus/
Pour la loy de dieu contemner:	Pour la loy de dieu contemner:
Rentrarent point en celle terre/	Rentrarent point en celle terre/
Combien plus sont a condamner	Combien plus sont a condamner
Ceulx quen Iesus ne ueullent croyre.	Ceulx qu'en Jesus ne veullent croyre.
¶ Tumbõs trestous deuãt noz faces:	¶ Tumbons trestous devant noz faces:
Et de grand coeur remercions	Et de grand coeur remercions
Ce bon pere de ses grandz graces/	Ce bon pere de ses grandz graces/
Lesquelles publier debuons/	Lesquelles publier debvons/
Affin de le glorifier:	Affin de le glorifier:
Preschõs tousioͬs ses grãs merueilles	Preschons tousjours ses grans merveilles
En loyant philozophier	En l'oyant philozophier
De coeur plus fort que des aureilles.	De coeur plus fort que des aureilles.
¶ Fin de plusieurs belles chan¬	¶ Fin de plusieurs belles chan¬
sons/ extraictes de la	sons/ extraictes de la
saincte escripture.	saincte escripture.
